CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
KLY~~KALIMA, ZAIRE REPUBLIC~NO STA DATA~~~~~
KLZ~~KLEINZEE, SOUTH AFRICA~NO STA DATA~~~~~
KMA~~KEREMA, PAPUA NEW GUINE~NO STA DATA~~~~~
KMB~~KOINAMBE, PAPUA NEW GUINE~NO STA DATA~~~~~
KMC~~MCCORD, AK~NO STA DATA~~~~~
KMD~~MANDJI, GABON~NO STA DATA~~~~~
KME~~KAMEMBE, RWANDA~NO STA DATA~~~~~
KMF~~KAMINA PG, PAPUA NEW GUINE~NO STA DATA~~~~~
KMG~~KUNMING, CHINA~NO STA DATA~~~~~
KMH~~KURUMAN, SOUTH AFRICA~NO STA DATA~~~~~
KMI~RJFM~MIYAZAKI, JAPAN~MIYAZAKI,JAPAN~MIYAZAKI~31.52.4N~131.27.0E~19~P09.0
KMJ~RJFT~KUMAMOTO, JAPAN~KUMAMOTO, KYUSHU, JAPAN~KUMAMOTO~32.50.0N~130.51.4E~632~P09.0
KMK~~MAKABANA, CONGO REPUBLIC~NO STA DATA~~~~~
KML~~KAMILEROI, AUSTRALIA~NO STA DATA~~~~~
KMM~~KIMAM, INDONESIA~NO STA DATA~~~~~
KMN~~KAMINA ZR, ZAIRE REPUBLIC~NO STA DATA~~~~~
KMO~~MANOKOTAK, AK~NO STA DATA~~~~~
KMP~FYKT~KEETMANSHOOP, NAMIBIA~KEETMANSHOOP SA~KEETMANSHOOP~26.32.4S~018.06.8E~3507~P02.0
KMQ~RJNK~KOMATSU, JAPAN~KOMATSU,JAPAN~KOMATSU~36.23.4N~136.24.6E~18~P09.0
KMR~~KARIMUI, PAPUA NEW GUINE~NO STA DATA~~~~~
KMS~DGSI~KUMASI, GHANA~KUMASI GHANA~KUMASI~06.43.0N~001.35.0W~942~P00.0
KMT~~KAMPOT, CAMBODIA~NO STA DATA~~~~~
KMU~~KISMAYU, SOMALIA~NO STA DATA~~~~~
KMV~~KALEMYO, MYANMAR~NO STA DATA~~~~~
KMW~~KOSTROMA, RUSSIA~NO STA DATA~~~~~
KMX~OEKM~KHAMIS MUSHAIT, SAUDI ARABIA~KHAMIS MUSHAIT, SAUDI ARAB~KING KHALID AB~18.18.0N~042.48.0E~6778~P03.0
KMY~~MOSER BAY, AK~NO STA DATA~~~~~
KMZ~~KACMA, ZAMBIA~NO STA DATA~~~~~
KNA~SCVM~VINA DEL MAR, CHILE~VINA DEL MAR~VINA DEL MAR~32.56.5S~071.28.7W~0~P00.0
KNB~~KANAB, UT~NO STA DATA~~~~~
KNC~~JIAN, CHINA~NO STA DATA~~~~~
KND~FZOA~KINDU, ZAIRE REPUBLIC~KINDU ZAIRE~KINDU~02.56.0S~025.54.0E~1631~P02.0
KNE~~KANAINJ, PAPUA NEW GUINE~NO STA DATA~~~~~
KNF~~KINGS LYNN, UNITED KINGDOM~NO STA DATA~~~~~
KNG~~KAIMANA, INDONESIA~NO STA DATA~~~~~
KNH~~KINMEN, TAIWAN~NO STA DATA~~~~~
KNI~~KATANNING, AUSTRALIA~NO STA DATA~~~~~
KNJ~~KINDAMBA, CONGO REPUBLIC~NO STA DATA~~~~~
KNK~~KAKHONAK, AK~NO STA DATA~~~~~
KNM~~KANIAMA, ZAIRE REPUBLIC~NO STA DATA~~~~~
KNN~~KANKAN, GUINEA~NO STA DATA~~~~~
KNO~~KNOCKE L ZOUT, BELGIUM~NO STA DATA~~~~~
KNP~~CAPANDA, ANGOLA~NO STA DATA~~~~~
KNQ~~KONE, NEW CALEDONIA~NO STA DATA~~~~~
KNR~~KANGAN, IRAN~NO STA DATA~~~~~
KNS~~KING ISLAND, AUSTRALIA~NO STA DATA~~~~~
KNT~~KENNETT, MO~NO STA DATA~~~~~
KNU~VIKA~KANPUR, INDIA~KANPUR INDIA~KANPUR~26.26.4N~080.21.9E~410~P05.5
KNV~~KNIGHTS INLET BC, CANADA~NO STA DATA~~~~~
KNW~~NEW STUYAHOK, AK~NO STA DATA~~~~~
KNX~YPKU~KUNUNURRA, AUSTRALIA~KUNUNURRA AUS~KUNUNURRA~15.46.8S~128.42.4E~145~P08.0
KNY~~KENNY COVE, SAUDI ARABIA~NO STA DATA~~~~~
KNZ~~KENIEBA, MALI~NO STA DATA~~~~~
KOA~PHKO~KONA, HI~KONA HAWAII~KEAHOLE-KONA INTL~19.44.3N~156.02.7W~43~M10.0
KOB~~KOUTABA, CAMEROON~NO STA DATA~~~~~
KOC~~KOUMAC, NEW CALEDONIA~NO STA DATA~~~~~
KOD~~KOTABANGUN, INDONESIA~NO STA DATA~~~~~
KOE~~KUPANG, INDONESIA~NO STA DATA~~~~~
KOF~~KOMATIPOORT, SOUTH AFRICA~NO STA DATA~~~~~
KOG~~KHONG, LAO PEOPLES DEM~NO STA DATA~~~~~
KOH~~KOOLATAH, AUSTRALIA~NO STA DATA~~~~~
KOI~~KIRKWALL, UNITED KINGDOM~NO STA DATA~~~~~
KOJ~RJFK~KAGOSHIMA, JAPAN~KAGOSHIMA, KYUSHU, JAPAN~KAGOSHIMA~31.48.0N~130.43.3E~891~P09.0
KOK~EFKK~KOKKOLA, FINLAND~KOKKOLA, FINLAND~KRUUNUPYY~63.43.2N~023.08.5E~84~P02.0
KOL~~KOUMALA, CENTRAL AFRICA~NO STA DATA~~~~~
KOM~~KOMO MANDA, PAPUA NEW GUINE~NO STA DATA~~~~~
KON~~KONTUM, VIETNAM~NO STA DATA~~~~~
KOO~~KONGOLO, ZAIRE REPUBLIC~NO STA DATA~~~~~
KOP~~NAKHON PHANOM, THAILAND~NO STA DATA~~~~~
KOQ~~KOETHEN DE, GERMANY~NO STA DATA~~~~~
KOR~~KOKORO, PAPUA NEW GUINE~NO STA DATA~~~~~
KOS~~SIHANOUKVILLE, CAMBODIA~NO STA DATA~~~~~
KOT~~KOTLIK, AK~NO STA DATA~~~~~
KOU~~KOULAMOUTOU, GABON~NO STA DATA~~~~~
KOV~~KOKSHETAU, KAZAKHSTAN~NO STA DATA~~~~~
KOW~~GANZHOU, CHINA~NO STA DATA~~~~~
KOX~~KOKONAO, INDONESIA~NO STA DATA~~~~~
KOY~~OLGA BAY, AK~NO STA DATA~~~~~
KOZ~~OUZINKIE, AK~NO STA DATA~~~~~
KPA~~KOPIAGO, PAPUA NEW GUINE~NO STA DATA~~~~~
KPB~~POINT BAKER, AK~NO STA DATA~~~~~
KPC~~PORT CLARENCE, AK~NO STA DATA~~~~~
KPD~~KING OF PRUSSIA, PA~NO STA DATA~~~~~
KPE~~YAPSIEI, PAPUA NEW GUINE~NO STA DATA~~~~~
KPG~~KURUPUNG, GUYANA~NO STA DATA~~~~~
KPH~~PAULOFF HARBOR, AK~NO STA DATA~~~~~
KPI~~KAPIT, MALAYSIA~NO STA DATA~~~~~
KPK~~PARKS, AK~NO STA DATA~~~~~
KPM~~KOMPIAN, PAPUA NEW GUINE~NO STA DATA~~~~~
KPN~~KIPNUK, AK~NO STA DATA~~~~~
KPO~~POHANG, SOUTH KOREA~NO STA DATA~~~~~
KPP~~KALPOWAR, AUSTRALIA~NO STA DATA~~~~~
KPR~~PORT WILLIAMS, AK~NO STA DATA~~~~~
KPS~~KEMPSEY, AUSTRALIA~NO STA DATA~~~~~
KPT~~JACKPOT, NV~NO STA DATA~~~~~
KPV~~PERRYVILLE, AK~NO STA DATA~~~~~
KPY~~PORT BAILEY, AK~NO STA DATA~~~~~
KQA~~AKUTAN, AK~NO STA DATA~~~~~
KQB~~KOONIBBA, AUSTRALIA~NO STA DATA~~~~~
KQL~~KOL, PAPUA NEW GUINE~NO STA DATA~~~~~
KRA~~KERANG, AUSTRALIA~NO STA DATA~~~~~
KRB~~KARUMBA, AUSTRALIA~NO STA DATA~~~~~
KRC~~KERINCI, INDONESIA~NO STA DATA~~~~~
KRD~~KURUNDI, AUSTRALIA~NO STA DATA~~~~~
KRE~~KIRUNDO, BURUNDI~NO STA DATA~~~~~
KRF~ESNK~KRAMFORS, SWEDEN~KRAMFORS SWEDEN~KRAMFORS AB~63.02.9N~017.46.3E~33~P01.0
KRG~~KARASABAI, GUYANA~NO STA DATA~~~~~
KRI~~KIKORI, PAPUA NEW GUINE~NO STA DATA~~~~~
KRJ~~KARAWARI, PAPUA NEW GUINE~NO STA DATA~~~~~
KRK~EPKK~KRAKOW, POLAND~KRAKOW POLAND~JPS INTL~50.04.6N~019.47.1E~791~P01.0
KRL~~KORLA, CHINA~NO STA DATA~~~~~
KRM~~KARANAMBO, GUYANA~NO STA DATA~~~~~
KRN~ESNQ~KIRUNA, SWEDEN~KIRUNA SWEDEN~KIRUNA~67.49.3N~020.20.4E~1507~P01.0
KRO~~KURGAN, E URAL RUSSIA~NO STA DATA~~~~~
KRP~EKKA~KARUP, DENMARK~KARUP DENMARK~KARUP AB~56.17.9N~009.06.7E~170~P01.0
KRQ~~KRAMATORSK, UKRAINE~NO STA DATA~~~~~
KRR~~KRASNODAR, RUSSIA~NO STA DATA~~~~~
KRS~ENCN~KRISTIANSAND, NORWAY~KRISTIANSAND NORWAY~KJEVIK~58.12.3N~008.05.3E~57~P01.0
KRT~HSSS~KHARTOUM, SUDAN~KHARTOUM SUDAN~KHARTOUM~15.36.0N~032.33.5E~1261~P02.0
KRU~~KERUA, PAPUA NEW GUINE~NO STA DATA~~~~~
KRV~~KERIO VALLEY, KENYA~NO STA DATA~~~~~
KRW~~KRASNOWODSK, TURKMENISTAN~NO STA DATA~~~~~
KRX~~KAR KAR, PAPUA NEW GUINE~NO STA DATA~~~~~
KRY~~KARAMAY, CHINA~NO STA DATA~~~~~
KRZ~~KIRI, ZAIRE REPUBLIC~NO STA DATA~~~~~
KSA~PTSA~KOSRAE, MICRONESIA~KOSRAE, CAROLINE ISLANDS~KOSRAE~05.21.4N~162.57.5E~9~P11.0
KSB~~KASANOMBE, PAPUA NEW GUINE~NO STA DATA~~~~~
KSC~LZKZ~KOSICE, SLOVAKIA~KOSICE, SLOVAKIA~KOSICE~48.39.8N~021.14.6E~755~P02.0
KSD~ESSQ~KARLSTAD, SWEDEN~KARLSTAD SWEDEN~KARLSTAD~59.21.5N~013.28.1E~152~P01.0
KSE~~KASESE, UGANDA~NO STA DATA~~~~~
KSF~~KASSEL, GERMANY~NO STA DATA~~~~~
KSG~~KISENGAN, PAPUA NEW GUINE~NO STA DATA~~~~~
KSH~OICC~KERMANSHAH, IRAN~BAKHTARAN IRAN~SHAHID ASHRAFI ESFAHANI~34.20.8N~047.08.9E~4307~P03.5
KSI~~KISSIDOUGOU, GUINEA~NO STA DATA~~~~~
KSJ~~KASOS ISLAND, GREECE~NO STA DATA~~~~~
KSK~~KARLSKOGA, SWEDEN~NO STA DATA~~~~~
KSL~~KASSALA, SUDAN~NO STA DATA~~~~~
KSM~PASM~SAINT MARYS, AK~ST MARYS ALASKA~ST MARYS ALASKA~62.03.8N~163.18.0W~311~M09.0
KSN~~KOSTANAY, KAZAKHSTAN~NO STA DATA~~~~~
KSO~LGKA~KASTORIA, GREECE~KASTORIA GREECE~ARISTOTELIS~40.27.0N~021.16.6E~2183~P02.0
KSP~~KOSIPE, PAPUA NEW GUINE~NO STA DATA~~~~~
KSQ~~KARSHI, UZBEKISTAN~NO STA DATA~~~~~
KSR~~SANDY RIVER, AK~NO STA DATA~~~~~
KSS~~SIKASSO, MALI~NO STA DATA~~~~~
KST~~KOSTI, SUDAN~NO STA DATA~~~~~
KSU~ENKB~KRISTIANSUND, NORWAY~KRISTIANSUND NORWAY~KVERNBERGET~63.06.7N~007.49.6E~204~P01.0
KSV~~SPRINGVALE AU, AUSTRALIA~NO STA DATA~~~~~
KSW~~KIRYAT, ISRAEL~NO STA DATA~~~~~
KSX~~YASURU, PAPUA NEW GUINE~NO STA DATA~~~~~
KSY~~KARS, TURKEY~NO STA DATA~~~~~
KSZ~~KOTLAS, RUSSIA~NO STA DATA~~~~~
KTA~YPKA~KARRATHA, AUSTRALIA~KARRATHA AUS~KARRATHA~20.42.7S~116.46.4E~29~P08.0
KTB~~THORNE BAY, AK~NO STA DATA~~~~~
KTD~~KITA DAITO, JAPAN~NO STA DATA~~~~~
KTE~~KERTEH, MALAYSIA~NO STA DATA~~~~~
KTF~~TAKAKA, NEW ZEALAND~NO STA DATA~~~~~
KTG~~KETAPANG, INDONESIA~NO STA DATA~~~~~
KTH~~TIKCHIK, AK~NO STA DATA~~~~~
KTI~~KRATIE, CAMBODIA~NO STA DATA~~~~~
KTJ~~RESERVED 49, SINGAPORE~NO STA DATA~~~~~
KTK~~KANUA, PAPUA NEW GUINE~NO STA DATA~~~~~
KTL~~KITALE, KENYA~NO STA DATA~~~~~
KTM~VNKT~KATHMANDU, NEPAL~KHATMANDU NEPAL~TRIBHUVAN INTL~27.41.7N~085.21.7E~4390~P05.5
KTN~PAKT~KETCHIKAN, AK~KETCHIKAN ALASKA~KETCHIKAN INTL~55.21.3N~131.42.8W~88~M09.0
KTO~~KATO, GUYANA~NO STA DATA~~~~~
KTP~~KINGSTON TINSON, JAMAICA~NO STA DATA~~~~~
KTR~YPTN~KATHERINE, AUSTRALIA~KATHERINE AUSTRALIA~TINDAL MILITARY~14.31.2S~132.22.6E~443~P09.5
KTS~~BREVIG MISSION, AK~NO STA DATA~~~~~
KTT~EFKT~KITTILA, FINLAND~KITTILA, FINLAND~KITTILA~67.41.8N~024.51.1E~644~P02.0
KTU~~KOTA, INDIA~NO STA DATA~~~~~
KTV~~KAMMARATA, VENEZUELA~NO STA DATA~~~~~
KTW~EPKT~KATOWICE, POLAND~KATOWICE POLAND~PYRZOWICE~50.28.4N~019.04.9E~994~P01.0
KTX~~KROLL ASSOCIATES, NY~NO STA DATA~~~~~
KTY~~TERROR BAY, AK~NO STA DATA~~~~~
KTZ~~KWUN TONG, HONG KONG~NO STA DATA~~~~~
KUA~~KUANTAN, MALAYSIA~NO STA DATA~~~~~
KUB~~KUALA BELAIT, BRUNEI~KUALA BELAIT BN~~~~0~P00.0
KUC~~KURIA, KIRIBATI~NO STA DATA~~~~~
KUD~~KUDAT, MALAYSIA~NO STA DATA~~~~~
KUE~~KUKUNDU, SOLOMON ISLANDS~NO STA DATA~~~~~
KUF~UWWW~SAMARA, RUSSIA~SAMARA KUF~KURUMOCH~53.30.0N~050.09.3E~476~P00.0
KUG~~KUBIN ISLAND, AUSTRALIA~NO STA DATA~~~~~
KUH~RJCK~KUSHIRO, JAPAN~KUSHIRO JAPAN~KUSHIRO~43.02.3N~144.11.8E~310~P09.0
KUI~~KAWAU ISLAND, NEW ZEALAND~NO STA DATA~~~~~
KUJ~~KUSHIMOTO, JAPAN~NO STA DATA~~~~~
KUK~~KASIGLUK, AK~COPENHAGEN FIR~~~~1~P00.0
KUL~WMKK~KUALA LUMPUR, MALAYSIA~KUALA LUMPUR MALAYSIA~SULTAN ABDUL AZIZ SHAH-SUBANG~03.07.8N~101.33.0E~90~P08.0
KUM~~YAKU SHIMA, JAPAN~NO STA DATA~~~~~
KUN~~KAUNAS, LITHUANIA~NO STA DATA~~~~~
KUO~EFKU~KUOPIO, FINLAND~KUOPIO, FINLAND~KUOPIO~63.00.5N~027.47.8E~323~P02.0
KUP~~KUPIANO, PAPUA NEW GUINE~NO STA DATA~~~~~
KUQ~~KURI, PAPUA NEW GUINE~NO STA DATA~~~~~
KUR~~KURAN O MUNJAN, AFGHANISTAN~NO STA DATA~~~~~
KUS~~KULUSUK, GREENLAND~NO STA DATA~~~~~
KUT~~KUTAISI, GEORGIA~NO STA DATA~~~~~
KUU~~KULU, INDIA~NO STA DATA~~~~~
KUV~RKJK~KUNSAN, SOUTH KOREA~KUNSAN AB~KUNSAN AB~35.54.2N~126.37.0E~29~P09.0
KUW~~KUGURUROK RIVER, AK~NO STA DATA~~~~~
KUY~~KAMUSI, PAPUA NEW GUINE~NO STA DATA~~~~~
KVA~LGKV~KAVALLA, GREECE~CHRISOUPOLIS GREECE~MEGAS ALEXANDROS~40.54.9N~024.37.2E~18~P02.0
KVB~ESGR~SKOVDE, SWEDEN~SKOVDE SWEDEN~SKOVDE~58.27.3N~013.58.3E~323~P01.0
KVC~~KING COVE, AK~NO STA DATA~~~~~
KVD~~GYANDZHA, AZERBAIJAN~NO STA DATA~~~~~
KVE~~KITAVA, PAPUA NEW GUINE~NO STA DATA~~~~~
KVG~~KAVIENG, PAPUA NEW GUINE~NO STA DATA~~~~~
KVK~~KIROVSK, RUSSIA~NO STA DATA~~~~~
KVL~~KIVALINA, AK~NO STA DATA~~~~~
KVU~~KOROLEVU, FIJI~NO STA DATA~~~~~
KVX~~KIROV, RUSSIA~NO STA DATA~~~~~
KWA~PKWA~KWAJALEIN, MICRONESIA~KWAJALEIN, MARSHALL ISLAND~BUCHOLZ AAF~08.42.7N~167.43.7E~9~M12.0
KWB~~SINAK, INDONESIA~NO STA DATA~~~~~
KWE~~GUIYANG, CHINA~NO STA DATA~~~~~
KWF~~WATERFALL, AK~NO STA DATA~~~~~
KWG~~KRIVOY ROG, UKRAINE~NO STA DATA~~~~~
KWH~~KHWAHAN, AFGHANISTAN~NO STA DATA~~~~~
KWI~OKBK~KUWAIT, KUWAIT~KUWAIT~KUWAIT INTL~29.13.5N~047.58.1E~210~P03.0
KWJ~~KWANGJU, SOUTH KOREA~NO STA DATA~~~~~
KWK~~KWIGILLINGOK, AK~NO STA DATA~~~~~
KWL~~GUILIN, CHINA~NO STA DATA~~~~~
KWM~~KOWANYAMA, AUSTRALIA~NO STA DATA~~~~~
KWN~~QUINHAGAK, AK~NO STA DATA~~~~~
KWO~~KAWITO, PAPUA NEW GUINE~NO STA DATA~~~~~
KWP~~WEST POINT, AK~NO STA DATA~~~~~
KWR~~KWAI HARBOUR, SOLOMON ISLANDS~NO STA DATA~~~~~
KWS~~KWAILABESI, SOLOMON ISLANDS~NO STA DATA~~~~~
KWT~~KWETHLUK, AK~NO STA DATA~~~~~
KWV~~KURWINA, SOLOMON ISLANDS~NO STA DATA~~~~~
KWX~~KIWAI ISLAND, PAPUA NEW GUINE~NO STA DATA~~~~~
KWY~~KIWAYU, KENYA~NO STA DATA~~~~~
KWZ~FZQM~KOLWEZI, ZAIRE REPUBLIC~KOLWEZI ZAIRE~KOLWEZI~10.46.0S~025.30.0E~4918~P02.0
KXA~~KASAAN, AK~NO STA DATA~~~~~
KXE~~KLERKSDORP, SOUTH AFRICA~NO STA DATA~~~~~
KXF~~KORO, FIJI~NO STA DATA~~~~~
KXK~~KOMSOMOLSK, RUSSIA~NO STA DATA~~~~~
KXR~~KAROOLA, PAPUA NEW GUINE~NO STA DATA~~~~~
KYA~LTAN~KONYA, TURKEY~KONYA TURKEY~KONYA AB~37.58.8N~032.33.9E~3390~P02.0
KYD~~ORCHID ISLAND, TAIWAN~NO STA DATA~~~~~
KYE~~TRIPOLI, LEBANON~NO STA DATA~~~~~
KYF~~YEELIRRIE, AUSTRALIA~NO STA DATA~~~~~
KYI~~YALATA MISSION, AUSTRALIA~NO STA DATA~~~~~
KYK~~KARLUK, AK~NO STA DATA~~~~~
KYL~~KEY LARGO, FL~NO STA DATA~~~~~
KYN~~MILTON KEYNES, UNITED KINGDOM~NO STA DATA~~~~~
KYO~~TOPP OF TAMPA, FL~NO STA DATA~~~~~
KYP~~KYAUKPYU, MYANMAR~NO STA DATA~~~~~
KYS~~KAYES, MALI~NO STA DATA~~~~~
KYT~~KYAUKTAW, MYANMAR~NO STA DATA~~~~~
KYU~~KOYUKUK, AK~NO STA DATA~~~~~
KYX~~YALUMET, PAPUA NEW GUINE~NO STA DATA~~~~~
KYZ~~KYZYL, E URAL RUSSIA~NO STA DATA~~~~~
KZB~~ZACHAR BAY, AK~NO STA DATA~~~~~
KZC~~KOMPONG CHHNANG, CAMBODIA~NO STA DATA~~~~~
KZD~~KRAKOR, CAMBODIA~NO STA DATA~~~~~
KZF~~KAINTIBA, PAPUA NEW GUINE~NO STA DATA~~~~~
KZG~~KITZINGEN DE, GERMANY~NO STA DATA~~~~~
KZH~~KIZHUYAK, AK~NO STA DATA~~~~~
KZI~LGKZ~KOZANI, GREECE~KOZANI GREECE~FILIPPOS~40.17.2N~021.50.5E~2080~P02.0
KZK~~KOMPONG THOM, CAMBODIA~NO STA DATA~~~~~
KZN~~KAZAN, RUSSIA~NO STA DATA~~~~~
KZO~~KZYL ORDA, KAZAKHSTAN~NO STA DATA~~~~~
KZS~~KASTELORIZO, GREECE~NO STA DATA~~~~~
LAA~KLAA~LAMAR, CO~LAMAR CO~LAMAR MUN~38.04.1N~102.41.3W~1~M07.0
LAB~~LABLAB, PAPUA NEW GUINE~NO STA DATA~~~~~
LAC~~PULAU LAYANG, MALAYSIA~NO STA DATA~~~~~
LAD~FNLU~LUANDA, ANGOLA~LUANDA ANGOLA~4TH OF FEBRUARY~08.51.2S~013.14.2E~243~P01.0
LAE~~LAE NADZAB, PAPUA NEW GUINE~NO STA DATA~~~~~
LAF~KLAF~LAFAYETTE LAF IN, IN~LAFAYETTE IN~PURDUE UNIV~40.24.7N~086.56.2W~606~M05.0
LAG~~LA GUAIRA, VENEZUELA~NO STA DATA~~~~~
LAH~~LABUHA, INDONESIA~NO STA DATA~~~~~
LAI~LFRO~LANNION, FRANCE~LAX INTL CREW BASE~LANNION~48.45.3N~003.28.3W~1~P00.0
LAJ~SBLJ~LAJES, BRAZIL~LAGES BRAZIL~LAGES~27.46.4S~050.17.0W~3065~M03.0
LAK~~AKLAVIK, CANADA~NO STA DATA~~~~~
LAL~KLAL~LAKELAND, FL~LAKELAND LINDER REGL~LAKELAND LINDER REGL~27.59.3N~082.01.1W~142~M05.0
LAM~~LOS ALAMOS, NM~CREATED FOR MESA AIRLINES~~~~0~P00.0
LAN~KLAN~LANSING, MI~LANSING MI~CAPITAL CITY~42.46.7N~084.35.2W~861~M05.0
LAO~RPLI~LAOAG, PHILIPPINES~LAOAG,PHILLIPINES~LAOAG~18.10.8N~120.31.8E~20~P08.0
LAP~MMLP~LA PAZ MX, MEXICO~LA PAZ, MEXICO~GEN MANUEL MARQUEZ DE LEON~24.04.3N~110.21.7W~69~M07.0
LAQ~~BEIDA, LIBYA~NO STA DATA~~~~~
LAR~KLAR~LARAMIE, WY~LARAMIE WYO~LARAMIE REGL~41.18.7N~105.40.4W~7278~M07.0
LAS~KLAS~LAS VEGAS NV, NV~LAS VEGAS NV~MC CARRAN INTL~36.04.8N~115.09.0W~2175~M08.0
LAT~~LAURIBE, COLOMBIA~NO STA DATA~~~~~
LAU~~LAMU, KENYA~NO STA DATA~~~~~
LAV~~LALOMALAVA, WESTERN SAMOA~NO STA DATA~~~~~
LAW~KLAW~LAWTON, OK~LAWTON OK~LAWTON-FT SILL REGL~34.34.0N~098.24.9W~1110~M06.0
LAX~KLAX~LOS ANGELES, CA~LOS ANGELES CA~LOS ANGELES INTL~33.56.5N~118.24.4W~126~M08.0
LAY~~LADYSMITH, SOUTH AFRICA~NO STA DATA~~~~~
LAZ~~BOM JESUS LAPA, BRAZIL~NO STA DATA~~~~~
LBA~EGNM~LEEDS, UNITED KINGDOM~LEEDS AND BRADFORD, UK~LEEDS BRADFORD~53.51.9N~001.39.5W~682~P00.0
LBB~KLBB~LUBBOCK, TX~LUBBOCK TX~LUBBOCK INTL~33.39.8N~101.49.3W~3281~M06.0
LBC~~LUEBECK, GERMANY~NO STA DATA~~~~~
LBD~UTDL~KHUDZHAND, TAJIKISTAN~HARTFORD/BRADLEY~KHUDZHAND~40.12.9N~069.41.7E~1~M05.0
LBE~KLBE~LATROBE PA, PA~LATROBE PA~WESTMORELAND CO~OBE PA~079.24.2W~1185~M05.0
LBF~KLBF~NORTH PLATTE, NE~NORTH PLATTE NEB~NORTH PLATTE REGL-BIRD~E NEB~100.41.2W~2779~M06.0
LBG~LFPB~PARIS LEBOURGET, FRANCE~LE BOURGET PARIS~LE BOURGET~48.58.2N~002.26.5E~217~P01.0
LBH~~SYDNEY PALM BEACH, AUSTRALIA~NO STA DATA~~~~~
LBI~LFCI~ALBI, FRANCE~LE SEQUESTRE FRANCE~LE SEQUESTRE~43.54.8N~002.07.0E~564~P01.0
LBJ~~LABUAN BAJO, INDONESIA~NO STA DATA~~~~~
LBK~~LIBOI, KENYA~NO STA DATA~~~~~
LBL~KLBL~LIBERAL, KS~LIBERAL KS~LIBERAL MUN~37.02.6N~100.57.5W~2883~M06.0
LBM~~LUABO, MOZAMBIQUE~NO STA DATA~~~~~
LBN~~FLY AAWAY VCTNS, TX~NO STA DATA~~~~~
LBP~~LONG BANGA, MALAYSIA~NO STA DATA~~~~~
LBQ~~LAMBARENE, GABON~NO STA DATA~~~~~
LBR~~LABREA, BRAZIL~NO STA DATA~~~~~
LBS~~LABASA, FIJI~NO STA DATA~~~~~
LBT~~LUMBERTON, NC~NO STA DATA~~~~~
LBU~~LABUAN, MALAYSIA~NO STA DATA~~~~~
LBV~FOOL~LIBREVILLE, GABON~LIBREVILLE, GABON~LEON M BA~00.27.5N~009.24.9E~39~P01.0
LBW~~LONGBAWAN, INDONESIA~NO STA DATA~~~~~
LBY~~LA BAULE, FRANCE~NO STA DATA~~~~~
LBZ~~LUKAPA, ANGOLA~NO STA DATA~~~~~
LCA~LCLK~LARNACA, CYPRUS~LARNACA CYPRUS~LARNACA INTL~34.52.7N~033.37.8E~8~P02.0
LCB~~PONTES E LACERDA, BRAZIL~NO STA DATA~~~~~
LCC~~LECCE, ITALY~NO STA DATA~~~~~
LCD~~LOUIS TRICHARDT, SOUTH AFRICA~NO STA DATA~~~~~
LCE~MHLC~LA CEIBA, HONDURAS~LA CIEBA HONDURAS~GOLOSON INTL~15.44.7N~086.51.2W~49~M06.0
LCF~KLCF~NOT IN TBL~LAKE CTY MUN~LAKE CITY MUN~30.10.9N~082.34.6W~142~M05.0
LCG~LECO~LA CORUNA, SPAIN~LA CORUJNA SPAIN~LA CORUNA~43.18.2N~008.22.5W~329~P01.0
LCH~KLCH~LAKE CHARLES, LA~LAKE CHARLES LOUSIANA~LAKE CHARLES REGL~30.07.5N~093.13.4W~16~M06.0
LCI~KLCI~LACONIA, NH~LACONIA NH~LACONIA MUN~43.34.3N~071.25.1W~545~M05.0
LCK~KLCK~COLUMBUS RCKNBCKR, OH~COLUMBUS, OHIO~RICKENBACKER INTL~39.48.8N~082.55.6W~744~M05.0
LCL~~LA COLOMA, CUBA~NO STA DATA~~~~~
LCM~~LA CUMBRE, ARGENTINA~NO STA DATA~~~~~
LCN~~BALCANOONA, AUSTRALIA~NO STA DATA~~~~~
LCO~~LOQUE, CONGO REPUBLIC~NO STA DATA~~~~~
LCP~~LONCOPUE, ARGENTINA~NO STA DATA~~~~~
LCQ~~E LAMB TRAINING, UNITED KINGDOM~NO STA DATA~~~~~
LCR~~LA CHORRERA, COLOMBIA~LEARNING CENTER~~~~1~M06.0
LCS~~LAS CANAS, COSTA RICA~NO STA DATA~~~~~
LCT~~LARNACA CTO, CYPRUS~NO STA DATA~~~~~
LCV~~LUCCA, ITALY~NO STA DATA~~~~~
LCX~CLCX~LITTLE CORNWALLIS, CANADA~LIT CORNWALLIS IS.~POLARIS~75.23.5N~096.55.9W~234~M06.0
LCY~EGLC~LONDON CITY ARPT, UNITED KINGDOM~LONDON CITY~LONDON CITY~51.30.2N~000.03.3E~17~P00.0
LDA~~MALDA, INDIA~NO STA DATA~~~~~
LDB~SBLO~LONDRINA, BRAZIL~LONDRINA BRAZIL~LONDRINA~23.19.7S~051.08.1W~1867~M03.0
LDC~~LINDEMAN ISLAND, AUSTRALIA~NO STA DATA~~~~~
LDE~LFBT~LOURDES TARBES, FRANCE~LOURDES-TARBES,FRANCE~OSSUN-LOURDES~43.11.1N~000.00.1W~1260~P01.0
LDH~~LORD HOWE IS, AUSTRALIA~NO STA DATA~~~~~
