CODE~ICAO~RES~DECS~NAME~LAT~LONG~ELEV~TZONE
AFL~SBAT~ALTA FLORESTA, BRAZIL~ALTA FLORESTA INT~ALTA FLORESTA~09.52.0S~056.06.3W~1~P00.0
AFN~~JAFFREY, NH~NO STA DATA~~~~~
AFO~~AFTON, WY~NO STA DATA~~~~~
AFP~~PERMANENT AK, AK~NO STA DATA~~~~~
AFQ~~AIR ARUBA, FL~NO STA DATA~~~~~
AFR~~AFORE, PAPUA NEW GUINE~NO STA DATA~~~~~
AFT~~AFUTARA, SOLOMON ISLANDS~NO STA DATA~~~~~
AFW~KAFW~ALLIANCE FT WORTH, TX~FT WORTH/ALLIANCE TX~FT WORTH ALLIANCE~32.59.2N~097.19.1W~722~M06.0
AFY~LTAH~AFYON, TURKEY~AFYON,TURKEY~AFYON AB~38.44.1N~030.35.7E~3313~P02.0
AGA~GMAD~AGADIR, MOROCCO~AGADIR MOROCCO~AL-MASSIRA~30.19.5N~009.24.7W~88~P00.0
AGB~EDMA~AUGSBURG, GERMANY~AUGSBURG GERMANY~AUGSBURG~48.25.5N~010.55.9E~1515~P01.0
AGC~KAGC~ALLEGHENY, PA~PITTSBURGH/ALLEGHENY PA~ALLEGHENY CO~40.21.2N~079.55.8W~1252~M05.0
AGD~~ANGGI, INDONESIA~AGADIR MOROCCO~~~~88~P00.0
AGE~~WANGEROOGE, GERMANY~NO STA DATA~~~~~
AGF~LFBA~AGEN, FRANCE~LA GARENNE FRANCE~LA GARENNE~44.10.5N~000.35.5E~203~P01.0
AGG~~ANGORAM, PAPUA NEW GUINE~NO STA DATA~~~~~
AGH~ESDB~HELSINGBORG AGH, SWEDEN~HELSINGBORG SWEDEN~ANGELHOLM AB~56.17.4N~012.51.4E~68~P01.0
AGJ~~AGUNI, JAPAN~NO STA DATA~~~~~
AGK~~KAGUA, PAPUA NEW GUINE~NO STA DATA~~~~~
AGL~~WANIGELA, PAPUA NEW GUINE~LA GUARDIA~~~~1~M05.0
AGM~~TASIILAQ, GREENLAND~NO STA DATA~~~~~
AGN~~ANGOON, AK~NO STA DATA~~~~~
AGO~~MAGNOLIA, AR~NO STA DATA~~~~~
AGP~LEMG~MALAGA, SPAIN~MALAGA SPAIN~MALAGA~36.40.5N~004.29.8W~52~P01.0
AGQ~~AGRINION, GREECE~NO STA DATA~~~~~
AGR~VIAG~AGRA, INDIA~AGRA INDIA~AGRA AB~27.09.3N~077.57.4E~551~P05.5
AGS~KAGS~AUGUSTA GA, GA~AUGUSTA GA~BUSH~33.22.1N~081.57.8W~145~M05.0
AGT~SGES~CIUDAD DEL ESTE, PARAGUAY~CIUDAD DEL ESTE PARAGUAY~CIUDAD DEL ESTE PARAGUAY~25.27.3S~054.50.6W~849~M04.0
AGU~MMAS~AGUASCALIENTES, MEXICO~AGUASCALIENTES MEXICO~JESUS TERAN INTL~21.42.2N~102.19.0W~6112~M06.0
AGV~SVAC~ACARIGUA, VENEZUELA~ACARIGUA VENEZUELA~OSWALDO GUEVARA MUJICA~09.33.0N~069.14.0W~640~M04.0
AGW~~AGNEW, AUSTRALIA~NO STA DATA~~~~~
AGX~~AGATTI ISLAND, INDIA~NO STA DATA~~~~~
AGY~~ARGYLE DOWNS, AUSTRALIA~NO STA DATA~~~~~
AGZ~~AGGENEYS, SOUTH AFRICA~NO STA DATA~~~~~
AHA~~ALOHA HAWAII, HI~NO STA DATA~~~~~
AHB~OEAB~ABHA, SAUDI ARABIA~ABHA SAUDI ARABIA~ABHA~18.14.4N~042.39.3E~6857~P03.0
AHC~~NOT IN TBL~SIERRA ARMY DEPOT CALF~~~~4008~M08.0
AHD~~ARDMORE DOWNTWN, OK~NO STA DATA~~~~~
AHE~~AEROTECH LIMITED, UNITED KINGDOM~NO STA DATA~~~~~
AHF~~ARAPAHOE, NE~NO STA DATA~~~~~
AHH~~AMERY, WI~NO STA DATA~~~~~
AHI~~AMAHAI, INDONESIA~NO STA DATA~~~~~
AHJ~MKJA~NOT IN TBL~AYR HILL JAMAICA~AYR HILL JAMAICA~18.13.6N~077.13.4W~1~P00.0
AHL~~AISHALTON, GUYANA~NO STA DATA~~~~~
AHN~KAHN~ATHENS GA, GA~ATHENS GA~ATHENS/EPPS~33.56.9N~083.19.5W~807~M05.0
AHO~LIEA~ALGHERO, ITALY~ALGHERO ITALY~FERTILIA~40.37.8N~008.17.3E~88~P01.0
AHP~~AMERICA WEST, AZ~NO STA DATA~~~~~
AHQ~~ANA HOTELS, NJ~NO STA DATA~~~~~
AHR~~ATHENS HTL, GREECE~NO STA DATA~~~~~
AHS~~AHUAS, HONDURAS~NO STA DATA~~~~~
AHT~~AMCHITKA, AK~NO STA DATA~~~~~
AHU~GMTA~AL HOCEIMA, MOROCCO~AL HOCEIMA MOROCCO~CHERIF AL IDRISSI~35.11.0N~003.50.0W~89~P00.0
AHY~~AMBATOLAHY, MADAGASCAR~NO STA DATA~~~~~
AHZ~~ALPE DHUEZ, FRANCE~NO STA DATA~~~~~
AIA~KAIA~ALLIANCE, NE~ALLIANCE NEBRASKA~ALLIANCE MUN~42.03.1N~102.48.2W~3929~M06.0
AIB~~ANITA BAY, AK~NO STA DATA~~~~~
AIC~~AIROK, US PACIFIC IS~NO STA DATA~~~~~
AID~KAID~ANDERSON IN, IN~ANDERSON IN~ANDERSON MUN-DARLINGTON~40.06.5N~085.36.7W~919~M05.0
AIE~~AIOME, PAPUA NEW GUINE~NO STA DATA~~~~~
AIF~~ASSIS, BRAZIL~NO STA DATA~~~~~
AIG~~YALINGA, CENTRAL AFRICA~NO STA DATA~~~~~
AII~~ALI SABIEH, DJIBOUTI~NO STA DATA~~~~~
AIK~KAIK~AIKEN, SC~AIKEN SC~AIKEN MUN~33.38.9N~081.41.0W~529~M05.0
AIL~~AILIGANDI, PANAMA~NO STA DATA~~~~~
AIM~~AILUK, US PACIFIC IS~MIAMI~~~~1~M05.0
AIN~~WAINWRIGHT, AK~NO STA DATA~~~~~
AIO~~ATLANTIC, IA~NO STA DATA~~~~~
AIP~~AILINGLAPALAP, US PACIFIC IS~NO STA DATA~~~~~
AIQ~~AGENTS REGISTRY, FL~NO STA DATA~~~~~
AIR~~ARIPUANA, BRAZIL~NO STA DATA~~~~~
AIS~~ARORAE ISLAND, KIRIBATI~NO STA DATA~~~~~
